code_2024,code_2020,code_2022,verdict,min_wording_similarity,title
D57_1,Q53,D56_1,comparable_3yr_minor_wording,0.971,Question 57_1. Do you intend to leave your current position in the next two years?
D57_2,Q54,D56_2,comparable_3yr_minor_wording,0.952,Question 57_2. Please indicate your reason for leaving.
Q01,Q01,Q01,comparable_3yr,1.0,"Question 1. I have the tools, technology and equipment I need to do my job."
Q02,,,new_in_2024,,"Question 2. During meetings in my work unit, I feel free to use the official language of my choice."
Q03,,,new_in_2024,,"Question 3. When I prepare written materials, including emails, I feel free to use the official language of my choice."
Q04,Q03,Q03,comparable_3yr,1.0,"Question 4. My physical environment (e.g., office, workspace) is suitable for my job requirements."
Q05,Q04,Q04,comparable_3yr,1.0,Question 5. I get the training I need to do my job.
Q06,Q05,Q05,comparable_3yr,1.0,"Question 6. I have the information, training and equipment I need to ensure my health and safety at work."
Q07,Q06,Q06,comparable_3yr,1.0,Question 7. I have support at work to balance my work and personal life.
Q08,Q07,Q07,comparable_3yr,1.0,Question 8. I get a sense of satisfaction from my work.
Q09,Q08,Q08,comparable_3yr,1.0,Question 9. I receive meaningful recognition for work well done.
Q10,Q09,Q09,comparable_3yr,1.0,Question 10. I have clear work objectives.
Q11,Q10,Q10,comparable_3yr,1.0,Question 11. I know how my work contributes to the achievement of my department's or agency's goals.
Q12,Q11,Q11,comparable_3yr,1.0,"Question 12. Overall, I feel valued at work."
Q13,Q12,Q12,comparable_3yr,1.0,Question 13. I am proud of the work that I do.
Q14,Q13,Q13,comparable_3yr,1.0,Question 14. I have opportunities to provide input into decisions that affect my work.
Q15,Q14,Q14,comparable_3yr,1.0,Question 15. I am encouraged to be innovative or to take initiative in my work.
Q16,Q15,Q15,comparable_3yr,1.0,Question 16. I have support at work to provide a high level of service.
Q17,Q16,Q16,comparable_3yr,1.0,"Question 17. Overall, I like my job."
Q18,Q17,Q17,comparable_3yr,1.0,Question 18. I can complete my assigned workload during my regular working hours.
Q19a,Q18a,Q18a,comparable_3yr,1.0,Question 19a. I feel that the quality of my work suffers because of... constantly changing priorities.
Q19b,Q18c,Q18b,comparable_3yr,1.0,Question 19b. I feel that the quality of my work suffers because of... too many approval stages.
Q19c,Q18d,Q18c,comparable_3yr,1.0,Question 19c. I feel that the quality of my work suffers because of... unreasonable deadlines.
Q19d,Q18e,Q18d,comparable_3yr,1.0,"Question 19d. I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources."
Q19e,Q18f,Q18e,comparable_3yr,1.0,Question 19e. I feel that the quality of my work suffers because of... high staff turnover.
